Date,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,cny
1/3/2010,36,-19,-14,2047,129.62,17,0,0
1/10/2010,63,-138,-64,7222,267.75,0,0,0
1/17/2010,71,-122,-45,7219,436.7,0,0,0
1/24/2010,83,-102,-3,7199,252.58,0,0,0
1/31/2010,52,-135,18,7169,488.09,0,0,0
2/7/2010,65,-105,-10,7196,54.99,0,0,1
2/14/2010,48,-134,-5,7211,111.3,0,0,1
2/21/2010,57,-129,25,7163,146.62,0,0,1
2/28/2010,133,-48,28,7113,109.94,0,0,1
3/7/2010,90,-81,13,7184,221.3,0,0,1
3/14/2010,64,-80,22,7176,214.57,19,0,0
3/21/2010,104,-63,38,7121,225.75,0,0,0
3/28/2010,74,-88,71,7158,167.17,0,0,0
4/4/2010,110,-49,88,7125,260.59,0,2,0
4/11/2010,96,-25,91,7116,284.29,0,0,0
4/18/2010,145,-39,75,7145,468.94,0,0,0
4/25/2010,66,19,117,7130,263.74,0,15,0
5/2/2010,36,-47,134,7070,753.72,0,0,0
5/9/2010,138,32,164,7032,173.89,0,0,0
5/16/2010,93,44,159,7096,137.69,0,0,0
5/23/2010,89,66,187,7029,76.45,0,0,0
5/30/2010,70,81,185,7067,73.75,0,2,0
6/6/2010,120,93,180,7107,26.33,0,0,0
6/13/2010,100,107,186,7082,84.05,0,0,0
6/20/2010,75,117,193,7027,16.99,0,3,0
6/27/2010,108,101,207,7046,39.79,0,0,0
7/4/2010,114,133,214,7008,16.97,0,4,0
7/11/2010,64,100,217,7027,117.17,0,1,0
7/18/2010,161,154,193,7050,25.05,0,1,0
7/25/2010,142,160,219,7054,104.63,0,0,0
8/1/2010,162,165,220,7019,129.65,0,0,0
8/8/2010,86,116,195,7055,91.21,0,2,0
8/15/2010,150,114,214,7024,108.62,0,1,0
8/22/2010,113,132,200,7078,81.82,0,8,0
8/29/2010,78,124,199,7087,56.77,0,0,0
9/5/2010,72,129,183,7086,77.32,0,1,0
9/12/2010,94,93,200,7081,63.91,0,0,0
9/19/2010,150,116,167,7090,109.08,0,19,0
9/26/2010,152,57,139,7131,46.05,0,7,0
10/3/2010,151,37,140,7128,289.24,0,0,0
10/10/2010,255,83,146,7100,17.84,0,0,0
10/17/2010,42,14,119,7143,166.27,0,0,0
10/24/2010,111,49,73,7170,47.39,0,12,0
