Bankrupt,ROA_B_before_interest_and_depreciation_after_tax,Operating_Gross_Margin,Operating_Profit_Rate,Non_industry_income_and_expenditure_revenue,Operating_Expense_Rate,Research_and_development_expense_rate,Cash_flow_rate,Interest_bearing_debt_interest_rate,Persistent_EPS_in_the_Last_Four_Seasons,Cash_Flow_Per_Share,Operating_Profit_Growth_Rate,After_tax_Net_Profit_Growth_Rate,Continuous_Net_Profit_Growth_Rate,Total_Asset_Growth_Rate,Net_Value_Growth_Rate,Total_Asset_Return_Growth_Rate_Ratio,Cash_Reinvestment_,Current_Ratio,Quick_Ratio,Interest_Expense_Ratio,Total_debt_Total_net_worth,Debt_ratio_,Long_term_fund_suitability_ratio__A,Inventory_and_accounts_receivable_Net_value,Total_Asset_Turnover,Accounts_Receivable_Turnover,Average_Collection_Days,Inventory_Turnover_Rate__times,Working_Capital_to_Total_Assets,Quick_Assets_Total_Assets,Current_Assets_Total_Assets,Cash_Total_Assets,Quick_Assets_Current_Liability,Cash_Current_Liability,Inventory_Working_Capital,Inventory_Current_Liability,Current_Liabilities_Liability,Working_Capital_Equity,Current_Liabilities_Equity,Long_term_Liability_to_Current_Assets,Retained_Earnings_to_Total_Assets,Total_income_Total_expense,Total_expense_Assets,Current_Asset_Turnover_Rate,Quick_Asset_Turnover_Rate,Working_capitcal_Turnover_Rate,Cash_Turnover_Rate,Equity_to_Long_term_Liability,Cash_Flow_to_Total_Assets,Cash_Flow_to_Liability,CFO_to_Assets,Cash_Flow_to_Equity,Current_Liability_to_Current_Assets,Net_Income_to_Stockholder's_Equity,Degree_of_Financial_Leverage__DFL,Interest_Coverage_Ratio__Interest_expense_to_EBIT,Equity_to_Liability
0,0.434766315,0.605132677,0.99893477,0.303077383,0.000221097,9470000000,0.471877071,0.000356036,0.19457313,0.321284572,0.847890602,0.688590023,0.217398895,3940000000,0.000367204,0.26203231,0.378851384,0.027178698,0.021976027,0.630571157,0.001913204,0.051032439,0.006028623,0.400128345,0.136431784,0.000586367,0.010782309,0.000196805,0.897208328,0.602031413,0.686162043,0.131317297,0.02297756,0.014449463,0.277077157,0.011191843,0.849622078,0.73926407,0.32770726,0,0.910391743,0.002075276,0.083141029,0.000159256,0.000144048,0.594007118,8570000000,0.110933234,0.635160602,0.455597753,0.611326837,0.313687418,0.010752841,0.835809099,0.026778329,0.565096478,0.075398678
0,0.572621661,0.613182663,0.999117566,0.303601386,0.000167095,8860000000,0.469422846,0.000330033,0.230405597,0.324573813,0.848034087,0.689402373,0.217592233,7560000000,0.000484889,0.263995928,0.378935211,0.014413684,0.011559763,0.630937932,0.005735963,0.114006712,0.005412913,0.399256186,0.076461769,0.000584339,0.010825858,902000000,0.814433113,0.341405883,0.398494331,0.072734035,0.011959253,0.007326032,0.277128044,0.006687995,0.426644427,0.736214,0.328428027,0.016194793,0.940083309,0.002483437,0.01551492,0.000220552,0.000193577,0.594007777,0.000109661,0.120889763,0.671200851,0.465540899,0.603698462,0.318859057,0.020342939,0.841777672,0.026884486,0.565567297,0.032967885
0,0.546335457,0.609211721,0.999048238,0.303445974,0.000176577,9900000000,0.486469893,0.000214021,0.221234755,0.332991441,0.848046263,0.689751186,0.21764978,6010000000,0.000446035,0.264103939,0.3945736,0.020246427,0.016087597,0.630798551,0.00137426,0.038516189,0.005753151,0.398629196,0.097451274,0.000519412,0.012179304,8810000000,0.839837005,0.400631767,0.461599641,0.119580358,0.016972735,0.01455378,0.277094279,0.008801558,0.995204846,0.736173231,0.327491539,0,0.934542547,0.002288895,0.026439594,0.000179691,0.0001604,0.594007717,0.000128967,0.110933234,0.665051195,0.472802208,0.66566416,0.316947777,0.014482386,0.840528214,0.026850337,0.565425616,0.098702243
0,0.536324214,0.612901598,0.999048931,0.303412378,0.000251047,4620000000,0.460362514,0.000243024,0.21915477,0.316828181,0.847972174,0.689183488,0.21756919,5530000000,0.000420506,0.263296579,0.365541522,0.016836765,0.013877954,0.630634169,0.003159795,0.075823079,0.005886187,0.401451992,0.122938531,0.000515354,0.012266403,0.000200436,0.84609449,0.485152431,0.54204642,0.102551638,0.014562141,0.008884941,0.277085711,0.00622311,0.743647814,0.73723807,0.32834372,0,0.934922908,0.002260783,0.047431016,0.00015996,0.000147807,0.593991007,8480000000,0.110933234,0.541869375,0.426221905,0.558757422,0.301857926,0.017424168,0.840575286,0.026798169,0.565191611,0.050741484
0,0.558862894,0.609334237,0.999027439,0.303507607,0.000193807,0.000135319,0.46073157,0.000164016,0.223882008,0.316156186,0.848046251,0.689406528,0.217595047,0.000103985,0.000468843,0.264168434,0.373151149,0.011844581,0.007727511,0.630769784,0.007985665,0.137981074,0.016014212,0.409016067,0.16041979,0.000624918,0.010124799,5870000000,0.871386737,0.647349339,0.900840305,0.207601499,0.008227072,0.007709918,0.277293336,0.009690754,0.982762808,0.741264692,0.333230365,0,0.937921195,0.002312211,0.031073918,0.000268126,0.00019516,0.594009153,0.000168034,0.110933234,0.7022929,0.470215158,0.555935746,0.324932713,0.024709155,0.841338867,0.026843306,0.565395363,0.026669913
0,0.522833128,0.600513124,0.998989193,0.303475219,9050000,1780000000,0.466550917,0.000158016,0.21698024,0.327049586,0.84798662,0.68915599,0.217573438,6140000000,0.000444288,0.263758926,0.386470325,0.00986518,0.009998915,0.633208792,0.012639181,0.171992623,0.005728373,0.404281487,0.152923538,0.000543759,0.011636218,0.00088505,0.801949661,0.497560396,0.479599032,0.160526666,0.009941855,0.009309888,0.27698265,0.00015762,0.500094152,0.736969329,0.331910179,0.018368236,0.935454202,0.002237723,0.025569147,0.00011621,0.000126971,0.593949362,0.000112401,0.130725167,0.653680159,0.460873975,0.608256481,0.316950496,0.029577995,0.840168533,0.028439228,0.568228599,0.020680949
0,0.545050592,0.607049684,0.999094225,0.30343123,9030000000,3280000000,0.473526081,0.000280028,0.220194762,0.321178468,0.848016288,0.689505236,0.217626475,8170000000,0.00045936,0.263995928,0.37852539,0.046254458,0.030888835,0.631083136,0.005121331,0.106146265,0.005755737,0.400215427,0.07946027,0.00058231,0.010854037,5200000000,0.882200644,0.416842979,0.548415305,0.148771591,0.033894404,0.03461011,0.277130128,0.032242105,0.189035956,0.740408491,0.327102786,0.014824814,0.934650696,0.002371496,0.011391985,0.000307401,0.000237332,0.59410642,0.000224108,0.122905324,0.700187208,0.47286799,0.590136444,0.322904124,0.006222707,0.84072335,0.026909815,0.565667067,0.035624825
0,0.553616361,0.602819297,0.998969434,0.303577941,0.000147321,5400000000,0.47210186,0.000220022,0.218209322,0.331187664,0.847933694,0.689278042,0.217581226,7420000000,0.000449703,0.264264789,0.385063895,0.011195597,0.008458029,0.630887248,0.003230013,0.077062611,0.005076318,0.397719524,0.086956522,0.000505209,0.012541361,0.000114453,0.798326214,0.307024141,0.375124426,0.113603343,0.008896634,0.009487293,0.277207014,0.006288131,0.760034789,0.734592595,0.328438182,0.005364639,0.935300026,0.002284466,0.013824139,0.000177775,0.00014945,0.593975117,0.000148767,0.113521791,0.638960149,0.457996259,0.627508658,0.314064291,0.026120796,0.840317345,0.026867682,0.565498646,0.04989759
0,0.55538305,0.59818533,0.998998321,0.303697099,533000000,611000000,0.468745125,0.000247025,0.232107403,0.329383886,0.84805778,0.689450356,0.217599756,6880000000,0.000498065,0.264075188,0.391248463,0.007792175,0.007732502,0.630937247,0.007144876,0.12978807,0.042575691,0.401263091,0.107946027,0.000405791,0.015561637,0.000768687,0.774013974,0.372746596,0.368179762,0.055206124,0.00769149,0.003306059,0.277039392,0.000616837,0.641031901,0.73364465,0.330331789,0.012859057,0.941429983,0.002665894,0.008687058,0.000134863,0.000142689,0.59393812,5730000000,0.118935723,0.644581109,0.459597483,0.624851548,0.314840648,0.037228098,0.841871103,0.026894725,0.565608151,0.028566462
0,0.543658654,0.597212413,0.998974634,0.303551596,5250000000,0,0.464942167,0.000322032,0.225678359,0.323406663,0.847975491,0.689386907,0.21759003,4740000000,0.000439397,0.263915114,0.380146045,0.011654878,0.00930458,0.631058821,0.005720461,0.113795084,0.005883295,0.406888587,0.341829085,0.001022592,0.006189132,0.000233873,0.839601488,0.550314738,0.673616024,0.050574221,0.009220666,0.002466127,0.277200216,0.006637143,0.900234322,0.737900588,0.330838156,0.001750101,0.936992857,0.002347044,0.024282036,5840000000,5070000000,0.593938653,1420000000,0.112737308,0.634327954,0.457364992,0.600355835,0.313261518,0.025105826,0.841294933,0.026924955,0.565724676,0.033026757
